file_name,segment_length,num_segments,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,original_cer,inference_cer,dcer
common_voice_zh-TW_18501489,2.0s,3,,,陈澄波自公学师范部毕业,,,,,,,,,,
common_voice_zh-TW_18504880,2.0s,2,,,区块链是今年最火热的科技趋势了,,,,,,,,,,
common_voice_zh-TW_18507740,2.0s,2,,,只从别人那里拿走自己想要的东西,,,,,,,,,,
common_voice_zh-TW_18515476,2.0s,2,,,陈清汾出生于台北,,,,,,,,,,
common_voice_zh-TW_18515489,2.0s,2,,,能不能改变人的本质,,,,,,,,,,
common_voice_zh-TW_18516113,2.0s,2,,,已规划二十一处产业基地,,,,,,,,,,
common_voice_zh-TW_18568588,2.0s,3,,,右边是三峡溪与拱桥,,,,,,,,,,
common_voice_zh-TW_18574350,2.0s,2,,,进行交流与互动的过程中,,,,,,,,,,
common_voice_zh-TW_18574355,2.0s,2,,,是先让效能提高,,,,,,,,,,
common_voice_zh-TW_18574372,2.0s,3,,,所以现在社游照办地点未定,,,,,,,,,,
common_voice_zh-TW_18574392,2.0s,2,,,当小孩最重要的事,,,,,,,,,,
common_voice_zh-TW_18574710,2.0s,2,,,颜水龙出生于台南下营,,,,,,,,,,
common_voice_zh-TW_18574813,2.0s,2,,,一定有什么过人的地方,,,,,,,,,,
common_voice_zh-TW_18660886,2.0s,2,,,当然是我们的一分子,,,,,,,,,,
common_voice_zh-TW_18660909,2.0s,2,,,小声向妈妈抱怨,,,,,,,,,,
common_voice_zh-TW_18668687,2.0s,2,,,做什么或不要去做什么,,,,,,,,,,
common_voice_zh-TW_18668699,2.0s,2,,,全身越来越痛,,,,,,,,,,
common_voice_zh-TW_18670217,2.0s,2,,,辖内有台北港,,,,,,,,,,
common_voice_zh-TW_18670218,2.0s,3,,,三位副市长及秘书长,,,,,,,,,,
common_voice_zh-TW_18670248,2.0s,3,,,如果各位有争议的话,,,,,,,,,,
common_voice_zh-TW_18670412,2.0s,2,,,三莺线捷运系统,,,,,,,,,,
common_voice_zh-TW_18670416,2.0s,2,,,或是以书面方式表达,,,,,,,,,,
common_voice_zh-TW_18670473,2.0s,2,,,暂停收视期间,,,,,,,,,,
common_voice_zh-TW_18670563,2.0s,2,,,要加酱油吗？,,,,,,,,,,
common_voice_zh-TW_18670691,2.0s,2,,,新北产业园区,,,,,,,,,,
common_voice_zh-TW_18670736,2.0s,2,,,第四百一十三次,,,,,,,,,,
common_voice_zh-TW_18670745,2.0s,2,,,时间各六分钟,,,,,,,,,,
common_voice_zh-TW_18670746,2.0s,2,,,有相互继承之权利,,,,,,,,,,
common_voice_zh-TW_18674848,2.0s,3,,,若有恶性价格竞争,,,,,,,,,,
common_voice_zh-TW_18680890,2.0s,2,,,明明就在隔壁，硬是要公文往返,,,,,,,,,,
common_voice_zh-TW_18683232,2.0s,3,,,有一天离开的时候,,,,,,,,,,
common_voice_zh-TW_18683268,2.0s,2,,,所以他们今天到底有没有约,,,,,,,,,,
common_voice_zh-TW_18683270,2.0s,2,,,还没传完吗？,,,,,,,,,,
common_voice_zh-TW_18683284,2.0s,2,,,黑胡椒或蘑菇酱,,,,,,,,,,
common_voice_zh-TW_18683304,2.0s,2,,,我明天下午有课,,,,,,,,,,
common_voice_zh-TW_18683306,2.0s,2,,,我们搭上公车要回台北了,,,,,,,,,,
common_voice_zh-TW_18683308,2.0s,2,,,希望全力配合,,,,,,,,,,
common_voice_zh-TW_18683309,2.0s,3,,,本于权力相互尊重之原则,,,,,,,,,,
common_voice_zh-TW_18683310,2.0s,3,,,办理收视率及满意度调查,,,,,,,,,,
common_voice_zh-TW_18683313,2.0s,2,,,处分书视同送达,,,,,,,,,,
common_voice_zh-TW_18683378,2.0s,2,,,创造了一个很好的成绩,,,,,,,,,,
common_voice_zh-TW_18683379,2.0s,3,,,本案会议纪录将于会后上网公告,,,,,,,,,,
common_voice_zh-TW_18683380,2.0s,2,,,土城区顶福里,,,,,,,,,,
common_voice_zh-TW_18683437,2.0s,3,,,针对舆论建议调整方向,,,,,,,,,,
common_voice_zh-TW_18693693,2.0s,2,,,欢迎大家来参加公听会,,,,,,,,,,
common_voice_zh-TW_18693708,2.0s,3,,,对原先周遭环境造成冲击,,,,,,,,,,
common_voice_zh-TW_18696028,2.0s,2,,,辜负五百万选民的期待,,,,,,,,,,
common_voice_zh-TW_18696078,2.0s,2,,,在此代表表示欢迎之意,,,,,,,,,,
common_voice_zh-TW_18696101,2.0s,2,,,所以我们长出尾巴,,,,,,,,,,
common_voice_zh-TW_18696112,2.0s,3,,,有些同仁的头发已经开始有银光出现了,,,,,,,,,,
common_voice_zh-TW_18699355,2.0s,2,,,台湾可能发生猪瘟,,,,,,,,,,
common_voice_zh-TW_18703739,2.0s,2,,,未满十八岁请勿观赏,,,,,,,,,,
common_voice_zh-TW_18703743,2.0s,3,,,信托费用会由参与者自行负担,,,,,,,,,,
common_voice_zh-TW_18703755,2.0s,2,,,谢谢老师的细心叮咛,,,,,,,,,,
common_voice_zh-TW_18703760,2.0s,2,,,任何性倾向都是正常的,,,,,,,,,,
common_voice_zh-TW_18703778,2.0s,2,,,如果各位想要发言的话,,,,,,,,,,
common_voice_zh-TW_18703784,2.0s,2,,,保护部分都有加以保护,,,,,,,,,,
common_voice_zh-TW_18703797,2.0s,2,,,才会迎向前来,,,,,,,,,,
common_voice_zh-TW_18718162,2.0s,2,,,大家尽快提出来讨论,,,,,,,,,,
common_voice_zh-TW_18718173,2.0s,2,,,不能再任意切割,,,,,,,,,,
common_voice_zh-TW_18718174,2.0s,4,,,我觉得请人来参加,,,,,,,,,,
common_voice_zh-TW_18718241,2.0s,2,,,我觉得大家交换一下意见也无妨,,,,,,,,,,
common_voice_zh-TW_18718244,2.0s,2,,,居住正义及居住安全,,,,,,,,,,
common_voice_zh-TW_18718246,2.0s,2,,,台电林口电厂点火顺利,,,,,,,,,,
common_voice_zh-TW_18718265,2.0s,2,,,检具申请书,,,,,,,,,,
common_voice_zh-TW_18718274,2.0s,2,,,在这样的重大会议出席发言,,,,,,,,,,
common_voice_zh-TW_18718283,2.0s,3,,,与其他的议事组安全组新闻组一样,,,,,,,,,,
common_voice_zh-TW_18718292,2.0s,2,,,社员有任何问题都提出来,,,,,,,,,,
common_voice_zh-TW_18718298,2.0s,2,,,人类生活和社会状况,,,,,,,,,,
common_voice_zh-TW_18718299,2.0s,2,,,经营共同生活,,,,,,,,,,
common_voice_zh-TW_18726017,2.0s,2,,,就是将人力物力当成时间表,,,,,,,,,,
common_voice_zh-TW_18726023,2.0s,3,,,于决策后交由支援人员执行,,,,,,,,,,
common_voice_zh-TW_18726025,2.0s,3,,,立法院审预算临时改期,,,,,,,,,,
common_voice_zh-TW_18726063,2.0s,2,,,你不会又喝到红通通吧？,,,,,,,,,,
common_voice_zh-TW_18726091,2.0s,2,,,担任议事组的副组长,,,,,,,,,,
common_voice_zh-TW_18726118,2.0s,3,,,个人认为就立即执行,,,,,,,,,,
common_voice_zh-TW_18735115,2.0s,2,,,采用最大公约数来解决问题,,,,,,,,,,
common_voice_zh-TW_18735145,2.0s,2,,,让住户了解计划内容,,,,,,,,,,
common_voice_zh-TW_18735146,2.0s,2,,,把重要的工作耽搁下来,,,,,,,,,,
common_voice_zh-TW_18735148,2.0s,2,,,相对不利之差别待遇,,,,,,,,,,
common_voice_zh-TW_18735154,2.0s,2,,,所以也希望带一二位来列席,,,,,,,,,,
common_voice_zh-TW_18735160,2.0s,2,,,改建可申请容积奖励,,,,,,,,,,
common_voice_zh-TW_18735161,2.0s,2,,,后续作为争议处理参考,,,,,,,,,,
common_voice_zh-TW_18735173,2.0s,2,,,我个人认为没有必要设立很多组,,,,,,,,,,
common_voice_zh-TW_18735176,2.0s,2,,,南部现在应该天气很热吧？,,,,,,,,,,
common_voice_zh-TW_18735183,2.0s,2,,,直接沟通是最有效的方式,,,,,,,,,,
common_voice_zh-TW_18735185,2.0s,2,,,所以必须以效率为主要的思考中心,,,,,,,,,,
common_voice_zh-TW_18735201,2.0s,2,,,缆线标章及相关计划,,,,,,,,,,
common_voice_zh-TW_18735203,2.0s,2,,,新北市政府经济发展局,,,,,,,,,,
common_voice_zh-TW_18754085,2.0s,2,,,由一群人先提出一些方案,,,,,,,,,,
common_voice_zh-TW_18754115,2.0s,2,,,不要演变成内部的分裂,,,,,,,,,,
common_voice_zh-TW_18762098,2.0s,2,,,就职演说,,,,,,,,,,
common_voice_zh-TW_18762109,2.0s,2,,,成为被改革的对象而有所怨言,,,,,,,,,,
common_voice_zh-TW_18762154,2.0s,2,,,计划都是较长时间的,,,,,,,,,,
common_voice_zh-TW_18778429,2.0s,2,,,运作可以圆满进行,,,,,,,,,,
common_voice_zh-TW_18778434,2.0s,2,,,犹如多头马车杂牌军,,,,,,,,,,
common_voice_zh-TW_18778442,2.0s,3,,,这两项问题似乎会纠葛在一起,,,,,,,,,,
common_voice_zh-TW_18778443,2.0s,2,,,不再是谎话连篇的社会,,,,,,,,,,
common_voice_zh-TW_18778445,2.0s,2,,,一百零七年九月十一日,,,,,,,,,,
common_voice_zh-TW_18778455,2.0s,2,,,个人认为最大的任务,,,,,,,,,,
common_voice_zh-TW_18778458,2.0s,2,,,避免会议三天有所争执,,,,,,,,,,
common_voice_zh-TW_18778462,2.0s,2,,,借由该场所宣示成果,,,,,,,,,,
common_voice_zh-TW_18778478,2.0s,2,,,请派出一名副组长,,,,,,,,,,
common_voice_zh-TW_18781761,2.0s,2,,,每个议题都应有背景说明,,,,,,,,,,
common_voice_zh-TW_18784448,2.0s,2,,,果然和我的预测一样,,,,,,,,,,
common_voice_zh-TW_18784548,2.0s,2,,,就各个议题组成工作小组,,,,,,,,,,
common_voice_zh-TW_18797105,2.0s,2,,,相对严峻,,,,,,,,,,
common_voice_zh-TW_18797110,2.0s,3,,,契约终止三个月后,,,,,,,,,,
common_voice_zh-TW_18797118,2.0s,3,,,明天放学后有要练习吗？,,,,,,,,,,
common_voice_zh-TW_18797119,2.0s,3,,,供都市计划委员会参考,,,,,,,,,,
common_voice_zh-TW_18797121,2.0s,3,,,我在台东的民宿了,,,,,,,,,,
common_voice_zh-TW_18797123,2.0s,3,,,让与会人员背书或举手,,,,,,,,,,
common_voice_zh-TW_18797124,2.0s,3,,,适婚而无配偶者,,,,,,,,,,
common_voice_zh-TW_18833251,2.0s,2,,,对形象恐怕有损,,,,,,,,,,
common_voice_zh-TW_18833253,2.0s,2,,,人数分配上各一半,,,,,,,,,,
common_voice_zh-TW_18833257,2.0s,2,,,于一定时间之内完成,,,,,,,,,,
common_voice_zh-TW_18833269,2.0s,2,,,今天晚上晚点回去,,,,,,,,,,
common_voice_zh-TW_18833272,2.0s,2,,,让新北子弟在地就学,,,,,,,,,,
common_voice_zh-TW_18833273,2.0s,2,,,不过我觉得，整个筹备工作,,,,,,,,,,
common_voice_zh-TW_18851578,2.0s,3,,,不要老是在官方非官方的问题上打转,,,,,,,,,,
common_voice_zh-TW_18851580,2.0s,2,,,请至网站查询,,,,,,,,,,
common_voice_zh-TW_18851582,2.0s,2,,,记得明天交两百元,,,,,,,,,,
common_voice_zh-TW_18851583,2.0s,3,,,总共能够容纳一百二十人,,,,,,,,,,
common_voice_zh-TW_18851584,2.0s,2,,,谢谢大家的回复,,,,,,,,,,
common_voice_zh-TW_18851585,2.0s,2,,,树林工业区,,,,,,,,,,
common_voice_zh-TW_18851604,2.0s,2,,,机会来到却无法产生成果,,,,,,,,,,
common_voice_zh-TW_18854545,2.0s,2,,,必要时可以表明立场,,,,,,,,,,
common_voice_zh-TW_18854548,2.0s,2,,,我们准备好了,,,,,,,,,,
common_voice_zh-TW_18854590,2.0s,3,,,办理文化资产之保存及再利用,,,,,,,,,,
common_voice_zh-TW_18854605,2.0s,2,,,哪来的照片？,,,,,,,,,,
common_voice_zh-TW_18854607,2.0s,2,,,目前已提高罚款金额,,,,,,,,,,
common_voice_zh-TW_18854612,2.0s,2,,,就是个人的内心价值,,,,,,,,,,
common_voice_zh-TW_18854668,2.0s,2,,,这个案子涉及议题,,,,,,,,,,
common_voice_zh-TW_18854670,2.0s,2,,,土地不参与信托,,,,,,,,,,
common_voice_zh-TW_18854685,2.0s,2,,,已经通过交通部履勘,,,,,,,,,,
common_voice_zh-TW_18854687,2.0s,2,,,接近宪法法院的地位,,,,,,,,,,
common_voice_zh-TW_18855684,2.0s,3,,,在友谊的基础之上也要有纪律,,,,,,,,,,
common_voice_zh-TW_18855701,2.0s,3,,,实际与会的主任检察官不多,,,,,,,,,,
common_voice_zh-TW_18855703,2.0s,2,,,由于各界均有相当的期待,,,,,,,,,,
common_voice_zh-TW_18855705,2.0s,2,,,劳工与企业双赢的天龙国,,,,,,,,,,
common_voice_zh-TW_18855710,2.0s,2,,,我会随时到各地了解,,,,,,,,,,
common_voice_zh-TW_18855730,2.0s,2,,,我也已经有立即提出对策,,,,,,,,,,
common_voice_zh-TW_18855752,2.0s,2,,,民间则包括社会人士,,,,,,,,,,
common_voice_zh-TW_18855779,2.0s,3,,,石门区尖鹿市民活动中心,,,,,,,,,,
common_voice_zh-TW_18859769,2.0s,3,,,实际我们都去勘查与接洽过,,,,,,,,,,
common_voice_zh-TW_18859772,2.0s,3,,,考量由何人与会较为适宜,,,,,,,,,,
common_voice_zh-TW_18860301,2.0s,2,,,依下列规定有权利选择,,,,,,,,,,
common_voice_zh-TW_18860307,2.0s,3,,,东北角海岸风景特定区,,,,,,,,,,
common_voice_zh-TW_18860313,2.0s,2,,,由专业人整理意见,,,,,,,,,,
common_voice_zh-TW_18860323,2.0s,2,,,介入之人数不可太多,,,,,,,,,,
common_voice_zh-TW_18860327,2.0s,2,,,那家的女主人好有气质,,,,,,,,,,
common_voice_zh-TW_18860330,2.0s,2,,,所以我们觉得有必要性,,,,,,,,,,
common_voice_zh-TW_18860336,2.0s,2,,,牵涉其中成员的问题,,,,,,,,,,
