file_name,segment_length,num_segments,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,original_cer,inference_cer,dcer
common_voice_zh-TW_17532408,0.5s,7,,,惯老板通通现形啦,,,,,,,,,,
common_voice_zh-TW_17535417,0.5s,7,,,希望你能改变心意,,,,,,,,,,
common_voice_zh-TW_17552650,0.5s,8,,,东华书局股份有限公司,,,,,,,,,,
common_voice_zh-TW_17580086,0.5s,7,,,每个人都对其他人有贡献,,,,,,,,,,
common_voice_zh-TW_17582114,0.5s,8,,,肯定生态复育的成果,,,,,,,,,,
common_voice_zh-TW_17582117,0.5s,8,,,分秒不空过,,,,,,,,,,
common_voice_zh-TW_17582138,0.5s,8,,,从历史文本回顾,,,,,,,,,,
common_voice_zh-TW_17582170,0.5s,8,,,盐月桃甫来台,,,,,,,,,,
common_voice_zh-TW_17582961,0.5s,7,,,一开始以为来了,,,,,,,,,,
common_voice_zh-TW_17582973,0.5s,9,,,于上班时间亲洽办公室,,,,,,,,,,
common_voice_zh-TW_17583006,0.5s,8,,,都有这种长期计划,,,,,,,,,,
common_voice_zh-TW_17583009,0.5s,8,,,病情每下愈况,,,,,,,,,,
common_voice_zh-TW_17583027,0.5s,8,,,想找到休息的地点,,,,,,,,,,
common_voice_zh-TW_17583028,0.5s,7,,,那个粗重的工作,,,,,,,,,,
common_voice_zh-TW_17583029,0.5s,7,,,她在烧完饭后回到房间,,,,,,,,,,
common_voice_zh-TW_17583034,0.5s,7,,,是极度庞大的数字,,,,,,,,,,
common_voice_zh-TW_17585466,0.5s,7,,,要懂得怎么隐藏身份,,,,,,,,,,
common_voice_zh-TW_17585488,0.5s,6,,,不能让你进来,,,,,,,,,,
common_voice_zh-TW_17587437,0.5s,8,,,一杯才台币六十五,,,,,,,,,,
common_voice_zh-TW_17587452,0.5s,9,,,讨厌我给她取的名字,,,,,,,,,,
common_voice_zh-TW_17619779,0.5s,7,,,能帮助自己的办法,,,,,,,,,,
common_voice_zh-TW_17626464,0.5s,7,,,我们一起享用,,,,,,,,,,
common_voice_zh-TW_17626483,0.5s,7,,,因为我也吃不下了,,,,,,,,,,
common_voice_zh-TW_17626495,0.5s,8,,,不确定的就等著缴钱,,,,,,,,,,
common_voice_zh-TW_17626504,0.5s,7,,,设计放在身边,,,,,,,,,,
common_voice_zh-TW_17626506,0.5s,7,,,在不经意间,,,,,,,,,,
common_voice_zh-TW_17626518,0.5s,9,,,在沙漠之中的甘泉也被饮尽,,,,,,,,,,
common_voice_zh-TW_17626519,0.5s,8,,,没有讨好的构图与内容,,,,,,,,,,
common_voice_zh-TW_17626536,0.5s,7,,,山路上开始下雪,,,,,,,,,,
common_voice_zh-TW_17636483,0.5s,8,,,要去自己该去的地方,,,,,,,,,,
common_voice_zh-TW_17636490,0.5s,7,,,而承包厂商倒闭,,,,,,,,,,
common_voice_zh-TW_17652585,0.5s,9,,,廖继春出生于台中丰原,,,,,,,,,,
common_voice_zh-TW_17687606,0.5s,7,,,公益平台董事长严长寿,,,,,,,,,,
common_voice_zh-TW_17723116,0.5s,12,,,有著褐色打底的古典技巧,,,,,,,,,,
common_voice_zh-TW_17723118,0.5s,7,,,你是我们的传声筒,,,,,,,,,,
common_voice_zh-TW_17760574,0.5s,9,,,我们前几天应该会去一趟剑桥,,,,,,,,,,
common_voice_zh-TW_17779414,0.5s,9,,,吸引国内外青年实现梦想,,,,,,,,,,
common_voice_zh-TW_17784082,0.5s,7,,,宣告了水运时代的结束,,,,,,,,,,
common_voice_zh-TW_17805271,0.5s,7,,,分享经验勉励青年,,,,,,,,,,
common_voice_zh-TW_17806418,0.5s,7,,,她把在睡觉的大女儿叫醒,,,,,,,,,,
common_voice_zh-TW_17809456,0.5s,9,,,差点掉下去做亡魂,,,,,,,,,,
common_voice_zh-TW_17809465,0.5s,8,,,开启新创团队不同之视野,,,,,,,,,,
common_voice_zh-TW_17809473,0.5s,7,,,好多年前离家出走了,,,,,,,,,,
common_voice_zh-TW_17879958,0.5s,7,,,市场撤出后散发恶臭,,,,,,,,,,
common_voice_zh-TW_17879965,0.5s,7,,,实际从事农业生产的人,,,,,,,,,,
common_voice_zh-TW_17972342,0.5s,9,,,更晚可能会有更大的雨势,,,,,,,,,,
common_voice_zh-TW_18009428,0.5s,8,,,算半个大人,,,,,,,,,,
common_voice_zh-TW_18009435,0.5s,7,,,很怀念的一首歌曲,,,,,,,,,,
common_voice_zh-TW_18009437,0.5s,7,,,提供各种资源,,,,,,,,,,
common_voice_zh-TW_18009438,0.5s,7,,,他决定要做生意,,,,,,,,,,
common_voice_zh-TW_18009472,0.5s,10,,,遇到客户跑来散步,,,,,,,,,,
common_voice_zh-TW_18009489,0.5s,8,,,食物的问题怎么办？,,,,,,,,,,
common_voice_zh-TW_18009495,0.5s,7,,,这是我们成功的秘密,,,,,,,,,,
common_voice_zh-TW_18009564,0.5s,10,,,把十四岁的少年演绎的很好,,,,,,,,,,
common_voice_zh-TW_18012365,0.5s,8,,,我们只有一次机会,,,,,,,,,,
common_voice_zh-TW_18066119,0.5s,7,,,他领悟力与平衡感很好,,,,,,,,,,
common_voice_zh-TW_18123707,0.5s,8,,,以自己女儿们为模特儿,,,,,,,,,,
common_voice_zh-TW_18123720,0.5s,8,,,目前课表还找不到上课资料,,,,,,,,,,
common_voice_zh-TW_18123774,0.5s,7,,,新闻总是大吹特吹,,,,,,,,,,
common_voice_zh-TW_18123855,0.5s,8,,,表弟也搬到芦洲与他们同住,,,,,,,,,,
common_voice_zh-TW_18123935,0.5s,8,,,用坚强的目光望向他,,,,,,,,,,
common_voice_zh-TW_18124057,0.5s,8,,,几位女士在树阴下闲谈,,,,,,,,,,
common_voice_zh-TW_18262656,0.5s,8,,,令人无法逃脱,,,,,,,,,,
common_voice_zh-TW_18262659,0.5s,7,,,过去多数家庭,,,,,,,,,,
common_voice_zh-TW_18262662,0.5s,9,,,我这里没有多余的床,,,,,,,,,,
common_voice_zh-TW_18262667,0.5s,7,,,在二号出口,,,,,,,,,,
common_voice_zh-TW_18262673,0.5s,8,,,天经地义不是吗？,,,,,,,,,,
common_voice_zh-TW_18262676,0.5s,8,,,福寿街优质职缺,,,,,,,,,,
common_voice_zh-TW_18262689,0.5s,8,,,他大步走著,,,,,,,,,,
common_voice_zh-TW_18262707,0.5s,8,,,创办人将分享,,,,,,,,,,
common_voice_zh-TW_18262714,0.5s,10,,,自己寻找的是跳脱的可能,,,,,,,,,,
common_voice_zh-TW_18262728,0.5s,7,,,很多事情,,,,,,,,,,
common_voice_zh-TW_18262738,0.5s,8,,,邀集相关专家学者,,,,,,,,,,
common_voice_zh-TW_18262740,0.5s,9,,,吸引人才并留住人才,,,,,,,,,,
common_voice_zh-TW_18262747,0.5s,7,,,提早布局放眼未来,,,,,,,,,,
common_voice_zh-TW_18262762,0.5s,7,,,苗栗高等学校,,,,,,,,,,
common_voice_zh-TW_18262771,0.5s,8,,,总统就政策急转弯,,,,,,,,,,
common_voice_zh-TW_18374682,0.5s,8,,,还没有一个完整的雏型,,,,,,,,,,
common_voice_zh-TW_18374700,0.5s,10,,,可以看出明显转变的痕迹,,,,,,,,,,
common_voice_zh-TW_18374717,0.5s,8,,,不知道多久以前的事情了,,,,,,,,,,
common_voice_zh-TW_18374770,0.5s,9,,,杨三郎出生于台北县永和,,,,,,,,,,
common_voice_zh-TW_18374826,0.5s,8,,,都已完成沟通协调,,,,,,,,,,
common_voice_zh-TW_18374835,0.5s,9,,,餐桌上有满满一大锅肉燥,,,,,,,,,,
common_voice_zh-TW_18374909,0.5s,8,,,在艺术评价上颇高,,,,,,,,,,
common_voice_zh-TW_18374964,0.5s,8,,,增加了画面许多动感,,,,,,,,,,
common_voice_zh-TW_18374965,0.5s,7,,,其实我们都有做了,,,,,,,,,,
common_voice_zh-TW_18374966,0.5s,8,,,社游是乔最多人的时间,,,,,,,,,,
common_voice_zh-TW_18375007,0.5s,8,,,一起来大啖语音应用,,,,,,,,,,
common_voice_zh-TW_18501489,0.5s,12,,,陈澄波自公学师范部毕业,,,,,,,,,,
common_voice_zh-TW_18504880,0.5s,7,,,区块链是今年最火热的科技趋势了,,,,,,,,,,
common_voice_zh-TW_18507740,0.5s,7,,,只从别人那里拿走自己想要的东西,,,,,,,,,,
common_voice_zh-TW_18515476,0.5s,8,,,陈清汾出生于台北,,,,,,,,,,
common_voice_zh-TW_18515489,0.5s,7,,,能不能改变人的本质,,,,,,,,,,
common_voice_zh-TW_18516113,0.5s,7,,,已规划二十一处产业基地,,,,,,,,,,
common_voice_zh-TW_18568588,0.5s,9,,,右边是三峡溪与拱桥,,,,,,,,,,
common_voice_zh-TW_18574350,0.5s,8,,,进行交流与互动的过程中,,,,,,,,,,
common_voice_zh-TW_18574355,0.5s,7,,,是先让效能提高,,,,,,,,,,
common_voice_zh-TW_18574372,0.5s,9,,,所以现在社游照办地点未定,,,,,,,,,,
common_voice_zh-TW_18574392,0.5s,7,,,当小孩最重要的事,,,,,,,,,,
common_voice_zh-TW_18574710,0.5s,8,,,颜水龙出生于台南下营,,,,,,,,,,
common_voice_zh-TW_18574813,0.5s,8,,,一定有什么过人的地方,,,,,,,,,,
common_voice_zh-TW_18660886,0.5s,7,,,当然是我们的一分子,,,,,,,,,,
common_voice_zh-TW_18660909,0.5s,7,,,小声向妈妈抱怨,,,,,,,,,,
common_voice_zh-TW_18668687,0.5s,8,,,做什么或不要去做什么,,,,,,,,,,
common_voice_zh-TW_18668699,0.5s,7,,,全身越来越痛,,,,,,,,,,
common_voice_zh-TW_18670217,0.5s,8,,,辖内有台北港,,,,,,,,,,
common_voice_zh-TW_18670218,0.5s,9,,,三位副市长及秘书长,,,,,,,,,,
common_voice_zh-TW_18670248,0.5s,9,,,如果各位有争议的话,,,,,,,,,,
common_voice_zh-TW_18670412,0.5s,7,,,三莺线捷运系统,,,,,,,,,,
common_voice_zh-TW_18670416,0.5s,8,,,或是以书面方式表达,,,,,,,,,,
common_voice_zh-TW_18670473,0.5s,8,,,暂停收视期间,,,,,,,,,,
common_voice_zh-TW_18670563,0.5s,7,,,要加酱油吗？,,,,,,,,,,
common_voice_zh-TW_18670691,0.5s,7,,,新北产业园区,,,,,,,,,,
common_voice_zh-TW_18670736,0.5s,7,,,第四百一十三次,,,,,,,,,,
common_voice_zh-TW_18670745,0.5s,7,,,时间各六分钟,,,,,,,,,,
common_voice_zh-TW_18670746,0.5s,8,,,有相互继承之权利,,,,,,,,,,
common_voice_zh-TW_18674848,0.5s,9,,,若有恶性价格竞争,,,,,,,,,,
common_voice_zh-TW_18680890,0.5s,7,,,明明就在隔壁，硬是要公文往返,,,,,,,,,,
common_voice_zh-TW_18683232,0.5s,10,,,有一天离开的时候,,,,,,,,,,
common_voice_zh-TW_18683268,0.5s,8,,,所以他们今天到底有没有约,,,,,,,,,,
common_voice_zh-TW_18683270,0.5s,8,,,还没传完吗？,,,,,,,,,,
common_voice_zh-TW_18683284,0.5s,8,,,黑胡椒或蘑菇酱,,,,,,,,,,
common_voice_zh-TW_18683304,0.5s,8,,,我明天下午有课,,,,,,,,,,
common_voice_zh-TW_18683306,0.5s,8,,,我们搭上公车要回台北了,,,,,,,,,,
common_voice_zh-TW_18683308,0.5s,8,,,希望全力配合,,,,,,,,,,
common_voice_zh-TW_18683309,0.5s,9,,,本于权力相互尊重之原则,,,,,,,,,,
common_voice_zh-TW_18683310,0.5s,10,,,办理收视率及满意度调查,,,,,,,,,,
common_voice_zh-TW_18683313,0.5s,8,,,处分书视同送达,,,,,,,,,,
common_voice_zh-TW_18683378,0.5s,8,,,创造了一个很好的成绩,,,,,,,,,,
common_voice_zh-TW_18683379,0.5s,10,,,本案会议纪录将于会后上网公告,,,,,,,,,,
common_voice_zh-TW_18683380,0.5s,8,,,土城区顶福里,,,,,,,,,,
common_voice_zh-TW_18683437,0.5s,9,,,针对舆论建议调整方向,,,,,,,,,,
common_voice_zh-TW_18693693,0.5s,8,,,欢迎大家来参加公听会,,,,,,,,,,
common_voice_zh-TW_18693708,0.5s,9,,,对原先周遭环境造成冲击,,,,,,,,,,
common_voice_zh-TW_18696028,0.5s,8,,,辜负五百万选民的期待,,,,,,,,,,
common_voice_zh-TW_18696078,0.5s,8,,,在此代表表示欢迎之意,,,,,,,,,,
common_voice_zh-TW_18696101,0.5s,7,,,所以我们长出尾巴,,,,,,,,,,
common_voice_zh-TW_18696112,0.5s,11,,,有些同仁的头发已经开始有银光出现了,,,,,,,,,,
common_voice_zh-TW_18699355,0.5s,7,,,台湾可能发生猪瘟,,,,,,,,,,
common_voice_zh-TW_18703739,0.5s,8,,,未满十八岁请勿观赏,,,,,,,,,,
common_voice_zh-TW_18703743,0.5s,9,,,信托费用会由参与者自行负担,,,,,,,,,,
common_voice_zh-TW_18703755,0.5s,7,,,谢谢老师的细心叮咛,,,,,,,,,,
common_voice_zh-TW_18703760,0.5s,8,,,任何性倾向都是正常的,,,,,,,,,,
common_voice_zh-TW_18703778,0.5s,7,,,如果各位想要发言的话,,,,,,,,,,
common_voice_zh-TW_18703784,0.5s,7,,,保护部分都有加以保护,,,,,,,,,,
common_voice_zh-TW_18703797,0.5s,7,,,才会迎向前来,,,,,,,,,,
common_voice_zh-TW_18718162,0.5s,8,,,大家尽快提出来讨论,,,,,,,,,,
common_voice_zh-TW_18718173,0.5s,7,,,不能再任意切割,,,,,,,,,,
common_voice_zh-TW_18718174,0.5s,13,,,我觉得请人来参加,,,,,,,,,,
common_voice_zh-TW_18718241,0.5s,7,,,我觉得大家交换一下意见也无妨,,,,,,,,,,
common_voice_zh-TW_18718244,0.5s,7,,,居住正义及居住安全,,,,,,,,,,
common_voice_zh-TW_18718246,0.5s,7,,,台电林口电厂点火顺利,,,,,,,,,,
common_voice_zh-TW_18718265,0.5s,7,,,检具申请书,,,,,,,,,,
common_voice_zh-TW_18718274,0.5s,7,,,在这样的重大会议出席发言,,,,,,,,,,
common_voice_zh-TW_18718283,0.5s,9,,,与其他的议事组安全组新闻组一样,,,,,,,,,,
common_voice_zh-TW_18718292,0.5s,7,,,社员有任何问题都提出来,,,,,,,,,,
common_voice_zh-TW_18718298,0.5s,7,,,人类生活和社会状况,,,,,,,,,,
common_voice_zh-TW_18718299,0.5s,8,,,经营共同生活,,,,,,,,,,
common_voice_zh-TW_18726017,0.5s,8,,,就是将人力物力当成时间表,,,,,,,,,,
common_voice_zh-TW_18726023,0.5s,9,,,于决策后交由支援人员执行,,,,,,,,,,
common_voice_zh-TW_18726025,0.5s,9,,,立法院审预算临时改期,,,,,,,,,,
common_voice_zh-TW_18726063,0.5s,7,,,你不会又喝到红通通吧？,,,,,,,,,,
common_voice_zh-TW_18726091,0.5s,7,,,担任议事组的副组长,,,,,,,,,,
common_voice_zh-TW_18726118,0.5s,10,,,个人认为就立即执行,,,,,,,,,,
common_voice_zh-TW_18735115,0.5s,8,,,采用最大公约数来解决问题,,,,,,,,,,
common_voice_zh-TW_18735145,0.5s,7,,,让住户了解计划内容,,,,,,,,,,
common_voice_zh-TW_18735146,0.5s,7,,,把重要的工作耽搁下来,,,,,,,,,,
common_voice_zh-TW_18735148,0.5s,7,,,相对不利之差别待遇,,,,,,,,,,
common_voice_zh-TW_18735154,0.5s,8,,,所以也希望带一二位来列席,,,,,,,,,,
common_voice_zh-TW_18735160,0.5s,8,,,改建可申请容积奖励,,,,,,,,,,
common_voice_zh-TW_18735161,0.5s,7,,,后续作为争议处理参考,,,,,,,,,,
common_voice_zh-TW_18735173,0.5s,8,,,我个人认为没有必要设立很多组,,,,,,,,,,
common_voice_zh-TW_18735176,0.5s,7,,,南部现在应该天气很热吧？,,,,,,,,,,
common_voice_zh-TW_18735183,0.5s,8,,,直接沟通是最有效的方式,,,,,,,,,,
common_voice_zh-TW_18735185,0.5s,8,,,所以必须以效率为主要的思考中心,,,,,,,,,,
common_voice_zh-TW_18735201,0.5s,7,,,缆线标章及相关计划,,,,,,,,,,
common_voice_zh-TW_18735203,0.5s,7,,,新北市政府经济发展局,,,,,,,,,,
common_voice_zh-TW_18754085,0.5s,7,,,由一群人先提出一些方案,,,,,,,,,,
common_voice_zh-TW_18754115,0.5s,7,,,不要演变成内部的分裂,,,,,,,,,,
common_voice_zh-TW_18762098,0.5s,7,,,就职演说,,,,,,,,,,
common_voice_zh-TW_18762109,0.5s,8,,,成为被改革的对象而有所怨言,,,,,,,,,,
common_voice_zh-TW_18762154,0.5s,7,,,计划都是较长时间的,,,,,,,,,,
common_voice_zh-TW_18778429,0.5s,7,,,运作可以圆满进行,,,,,,,,,,
common_voice_zh-TW_18778434,0.5s,7,,,犹如多头马车杂牌军,,,,,,,,,,
common_voice_zh-TW_18778442,0.5s,9,,,这两项问题似乎会纠葛在一起,,,,,,,,,,
common_voice_zh-TW_18778443,0.5s,7,,,不再是谎话连篇的社会,,,,,,,,,,
common_voice_zh-TW_18778445,0.5s,7,,,一百零七年九月十一日,,,,,,,,,,
common_voice_zh-TW_18778455,0.5s,7,,,个人认为最大的任务,,,,,,,,,,
common_voice_zh-TW_18778458,0.5s,8,,,避免会议三天有所争执,,,,,,,,,,
common_voice_zh-TW_18778462,0.5s,7,,,借由该场所宣示成果,,,,,,,,,,
common_voice_zh-TW_18778478,0.5s,6,,,请派出一名副组长,,,,,,,,,,
common_voice_zh-TW_18781761,0.5s,7,,,每个议题都应有背景说明,,,,,,,,,,
common_voice_zh-TW_18784448,0.5s,7,,,果然和我的预测一样,,,,,,,,,,
common_voice_zh-TW_18784548,0.5s,8,,,就各个议题组成工作小组,,,,,,,,,,
common_voice_zh-TW_18797105,0.5s,7,,,相对严峻,,,,,,,,,,
common_voice_zh-TW_18797110,0.5s,10,,,契约终止三个月后,,,,,,,,,,
common_voice_zh-TW_18797118,0.5s,10,,,明天放学后有要练习吗？,,,,,,,,,,
common_voice_zh-TW_18797119,0.5s,10,,,供都市计划委员会参考,,,,,,,,,,
common_voice_zh-TW_18797121,0.5s,9,,,我在台东的民宿了,,,,,,,,,,
common_voice_zh-TW_18797123,0.5s,12,,,让与会人员背书或举手,,,,,,,,,,
common_voice_zh-TW_18797124,0.5s,9,,,适婚而无配偶者,,,,,,,,,,
common_voice_zh-TW_18833251,0.5s,8,,,对形象恐怕有损,,,,,,,,,,
common_voice_zh-TW_18833253,0.5s,8,,,人数分配上各一半,,,,,,,,,,
common_voice_zh-TW_18833257,0.5s,8,,,于一定时间之内完成,,,,,,,,,,
common_voice_zh-TW_18833269,0.5s,8,,,今天晚上晚点回去,,,,,,,,,,
common_voice_zh-TW_18833272,0.5s,8,,,让新北子弟在地就学,,,,,,,,,,
common_voice_zh-TW_18833273,0.5s,8,,,不过我觉得，整个筹备工作,,,,,,,,,,
common_voice_zh-TW_18851578,0.5s,12,,,不要老是在官方非官方的问题上打转,,,,,,,,,,
common_voice_zh-TW_18851580,0.5s,8,,,请至网站查询,,,,,,,,,,
common_voice_zh-TW_18851582,0.5s,8,,,记得明天交两百元,,,,,,,,,,
common_voice_zh-TW_18851583,0.5s,9,,,总共能够容纳一百二十人,,,,,,,,,,
common_voice_zh-TW_18851584,0.5s,8,,,谢谢大家的回复,,,,,,,,,,
common_voice_zh-TW_18851585,0.5s,7,,,树林工业区,,,,,,,,,,
common_voice_zh-TW_18851604,0.5s,7,,,机会来到却无法产生成果,,,,,,,,,,
common_voice_zh-TW_18854545,0.5s,8,,,必要时可以表明立场,,,,,,,,,,
common_voice_zh-TW_18854548,0.5s,7,,,我们准备好了,,,,,,,,,,
common_voice_zh-TW_18854590,0.5s,10,,,办理文化资产之保存及再利用,,,,,,,,,,
common_voice_zh-TW_18854605,0.5s,7,,,哪来的照片？,,,,,,,,,,
common_voice_zh-TW_18854607,0.5s,8,,,目前已提高罚款金额,,,,,,,,,,
common_voice_zh-TW_18854612,0.5s,8,,,就是个人的内心价值,,,,,,,,,,
common_voice_zh-TW_18854668,0.5s,8,,,这个案子涉及议题,,,,,,,,,,
common_voice_zh-TW_18854670,0.5s,7,,,土地不参与信托,,,,,,,,,,
common_voice_zh-TW_18854685,0.5s,8,,,已经通过交通部履勘,,,,,,,,,,
common_voice_zh-TW_18854687,0.5s,8,,,接近宪法法院的地位,,,,,,,,,,
common_voice_zh-TW_18855684,0.5s,9,,,在友谊的基础之上也要有纪律,,,,,,,,,,
common_voice_zh-TW_18855701,0.5s,9,,,实际与会的主任检察官不多,,,,,,,,,,
common_voice_zh-TW_18855703,0.5s,8,,,由于各界均有相当的期待,,,,,,,,,,
common_voice_zh-TW_18855705,0.5s,8,,,劳工与企业双赢的天龙国,,,,,,,,,,
common_voice_zh-TW_18855710,0.5s,8,,,我会随时到各地了解,,,,,,,,,,
common_voice_zh-TW_18855730,0.5s,8,,,我也已经有立即提出对策,,,,,,,,,,
common_voice_zh-TW_18855752,0.5s,8,,,民间则包括社会人士,,,,,,,,,,
common_voice_zh-TW_18855779,0.5s,11,,,石门区尖鹿市民活动中心,,,,,,,,,,
common_voice_zh-TW_18859769,0.5s,11,,,实际我们都去勘查与接洽过,,,,,,,,,,
common_voice_zh-TW_18859772,0.5s,11,,,考量由何人与会较为适宜,,,,,,,,,,
common_voice_zh-TW_18860301,0.5s,8,,,依下列规定有权利选择,,,,,,,,,,
common_voice_zh-TW_18860307,0.5s,9,,,东北角海岸风景特定区,,,,,,,,,,
common_voice_zh-TW_18860313,0.5s,7,,,由专业人整理意见,,,,,,,,,,
common_voice_zh-TW_18860323,0.5s,8,,,介入之人数不可太多,,,,,,,,,,
common_voice_zh-TW_18860327,0.5s,8,,,那家的女主人好有气质,,,,,,,,,,
common_voice_zh-TW_18860330,0.5s,8,,,所以我们觉得有必要性,,,,,,,,,,
common_voice_zh-TW_18860336,0.5s,8,,,牵涉其中成员的问题,,,,,,,,,,
